categories,dates,event_links,event_titles
"Markets,Food,WaterfrontFree",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/socrates-farmers-market,Socrates Farmers Market
"Sports,Bocce TournamentFree",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/bocce-tournament,Queens Bocce Tournament
"Volunteer,It's My ParkFree",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/its-my-park-at-northerleigh-park,CANCELLED: It's My Park at Northerleigh Park
"Volunteer,It's My ParkFree",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/its-my-park-at-westerleigh-park,It's My Park at Westerleigh Park
"Education,Nature,Fitness,Sports,Waterfront",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/learntorow-1,Learn-to-Row 1
"Markets,Food",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/hattie-carthan-community-saturday-farmers-market,Hattie Carthan Community Saturday Farmers Market
"Volunteer,It's My ParkFree",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/its-my-park-at-forest-park,It's My Park at Forest Park
"Accessible,Art,HistoryFree",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/the-bronx-meets-east-africa,The Bronx Meets East Africa
"Games,Sports,Bocce TournamentFree",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/manhattan-bocce-tournament,Manhattan Bocce Tournament
"Nature,Sports,Kayaking and Canoeing,Waterfront",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/upper-river-paddle,Upper River Paddle
"Markets,Food,WaterfrontFree",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/socrates-farmers-market,Socrates Farmers Market
"Sports,Bocce TournamentFree",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/bocce-tournament,Queens Bocce Tournament
"Volunteer,It's My ParkFree",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/its-my-park-at-northerleigh-park,CANCELLED: It's My Park at Northerleigh Park
"Volunteer,It's My ParkFree",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/its-my-park-at-westerleigh-park,It's My Park at Westerleigh Park
"Education,Nature,Fitness,Sports,Waterfront",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/learntorow-1,Learn-to-Row 1
"Markets,Food",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/hattie-carthan-community-saturday-farmers-market,Hattie Carthan Community Saturday Farmers Market
"Volunteer,It's My ParkFree",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/its-my-park-at-forest-park,It's My Park at Forest Park
"Accessible,Art,HistoryFree",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/the-bronx-meets-east-africa,The Bronx Meets East Africa
"Games,Sports,Bocce TournamentFree",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/manhattan-bocce-tournament,Manhattan Bocce Tournament
"Nature,Sports,Kayaking and Canoeing,Waterfront",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/upper-river-paddle,Upper River Paddle
"Nature,Volunteer,WaterfrontFree",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/green-team,Green Team
