Unnamed: 0,categories,dates,event_links,event_titles
0.0,"Theater, Summer Theater,Food",09/08/2017,https://www.nycgovparks.org/events/2017/09/08/bryant-park-presents-shakespeare,Bryant Park Presents: Shakespeare: The Tempest
1.0,"Nature,Hiking,Wildlife",09/08/2017,https://www.nycgovparks.org/events/2017/09/08/bat-bonanza-night-hike-at-willowbrook-park,Bat Bonanza Night Hike at Willowbrook Park
2.0,"Film,Best for Kids, Summer Movies,Movies Under the Stars",09/08/2017,https://www.nycgovparks.org/events/2017/09/08/movies-under-the-stars-zootopia,Movies Under the Stars: Zootopia
3.0,"Accessible,Film,Best for Kids, Summer Movies,Movies Under the Stars",09/08/2017,https://www.nycgovparks.org/events/2017/09/08/movies-under-the-stars-moana,Movies Under the Stars: Moana
4.0,"Film, Summer Movies,Movies Under the Stars",09/08/2017,https://www.nycgovparks.org/events/2017/09/08/movies-under-the-stars-rogue-one-a-star-wars-story,Movies Under the Stars: Rogue One: A Star Wars Story
5.0,"Film, Summer Movies,Movies Under the Stars",09/08/2017,https://www.nycgovparks.org/events/2017/09/08/movies-under-the-stars-grease,Movies Under the Stars: Grease
6.0,"Film,Best for Kids, Summer Movies,Movies Under the Stars",09/08/2017,https://www.nycgovparks.org/events/2017/09/08/movies-under-the-stars-moana1,Movies Under the Stars: Moana
7.0,"Film,Best for Kids, Summer Movies,Movies Under the Stars",09/08/2017,https://www.nycgovparks.org/events/2017/09/08/movies-under-the-stars-moana2,Movies Under the Stars: Moana
8.0,Art,09/09/2017,https://www.nycgovparks.org/events/2017/09/09/the-fence,The Fence
9.0,Fitness,09/09/2017,https://www.nycgovparks.org/events/2017/09/09/van-cortlandt-track-club,Van Cortlandt Track Club
10.0,"Theater, Summer Theater,Food",09/08/2017,https://www.nycgovparks.org/events/2017/09/08/bryant-park-presents-shakespeare,Bryant Park Presents: Shakespeare: The Tempest
11.0,"Nature,Hiking,Wildlife",09/08/2017,https://www.nycgovparks.org/events/2017/09/08/bat-bonanza-night-hike-at-willowbrook-park,Bat Bonanza Night Hike at Willowbrook Park
12.0,"Film,Best for Kids, Summer Movies,Movies Under the Stars",09/08/2017,https://www.nycgovparks.org/events/2017/09/08/movies-under-the-stars-zootopia,Movies Under the Stars: Zootopia
13.0,"Accessible,Film,Best for Kids, Summer Movies,Movies Under the Stars",09/08/2017,https://www.nycgovparks.org/events/2017/09/08/movies-under-the-stars-moana,Movies Under the Stars: Moana
14.0,"Film, Summer Movies,Movies Under the Stars",09/08/2017,https://www.nycgovparks.org/events/2017/09/08/movies-under-the-stars-rogue-one-a-star-wars-story,Movies Under the Stars: Rogue One: A Star Wars Story
15.0,"Film, Summer Movies,Movies Under the Stars",09/08/2017,https://www.nycgovparks.org/events/2017/09/08/movies-under-the-stars-grease,Movies Under the Stars: Grease
16.0,"Film,Best for Kids, Summer Movies,Movies Under the Stars",09/08/2017,https://www.nycgovparks.org/events/2017/09/08/movies-under-the-stars-moana1,Movies Under the Stars: Moana
17.0,"Film,Best for Kids, Summer Movies,Movies Under the Stars",09/08/2017,https://www.nycgovparks.org/events/2017/09/08/movies-under-the-stars-moana2,Movies Under the Stars: Moana
18.0,Art,09/09/2017,https://www.nycgovparks.org/events/2017/09/09/the-fence,The Fence
19.0,Fitness,09/09/2017,https://www.nycgovparks.org/events/2017/09/09/van-cortlandt-track-club,Van Cortlandt Track Club
20.0,"Birding,Education,Nature,Tours,Wildlife",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/bird-walks,Bird Walks
21.0,"Volunteer,It's My Park",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/its-my-park-at-lafayette-ave-mall-greenstreet,CANCELLED: It's My Park at Lafayette Ave Mall Greenstreet
22.0,"Markets,Food,Waterfront",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/socrates-farmers-market,Socrates Farmers Market
23.0,Fitness,09/09/2017,https://www.nycgovparks.org/events/2017/09/09/morning-fitness-at-fort-tryon-park,Morning Fitness at Fort Tryon Park
24.0,"Sports,Bocce Tournament",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/bocce-tournament,Queens Bocce Tournament
25.0,Volunteer,09/09/2017,https://www.nycgovparks.org/events/2017/09/09/volunteer-at-washington-square-park,Volunteer at Washington Square Park
26.0,Fitness,09/09/2017,https://www.nycgovparks.org/events/2017/09/09/nyrr-open-run-soundview-park,NYRR Open Run: Soundview Park
27.0,"Fitness,Outdoor Fitness",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/nyrr-open-run-astoria-park,CANCELLED: NYRR Open Run: Astoria Park
28.0,Fitness,09/09/2017,https://www.nycgovparks.org/events/2017/09/09/nyrr-open-run-canarsie-park,NYRR Open Run: Canarsie Park
29.0,Fitness,09/09/2017,https://www.nycgovparks.org/events/2017/09/09/nyrr-open-run-inwood-hill-park,NYRR Open Run: Inwood Hill Park
30.0,Fitness,09/09/2017,https://www.nycgovparks.org/events/2017/09/09/nyrr-open-run-st-marys-park,NYRR Open Run: St. Mary's Park
31.0,"Volunteer,It's My Park",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/its-my-park-at-northerleigh-park,CANCELLED: It's My Park at Northerleigh Park
32.0,"Volunteer,It's My Park",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/its-my-park-at-westerleigh-park,It's My Park at Westerleigh Park
33.0,"Education,Nature,Fitness,Sports,Waterfront",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/learntorow-1,Learn-to-Row 1
34.0,"Markets,Food",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/hattie-carthan-community-saturday-farmers-market,Hattie Carthan Community Saturday Farmers Market
35.0,"Volunteer,It's My Park",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/its-my-park-at-forest-park,It's My Park at Forest Park
36.0,"Accessible,Art,History",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/the-bronx-meets-east-africa,The Bronx Meets East Africa
37.0,"Games,Sports,Bocce Tournament",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/manhattan-bocce-tournament,Manhattan Bocce Tournament
38.0,"Nature,Sports,Kayaking and Canoeing,Waterfront",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/upper-river-paddle,Upper River Paddle
39.0,"Accessible,Fitness",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/shape-up-zumbaadults,Shape Up NYC: Zumba - Adults
